Id,Title,Senior,Company,Location,Salary,Currency
125,Deep Learning Engineer,False,,Zdalnie    +1,22 000  – 28 000  PLN,PLN
126,Machine Learning Engineer,False,,Zdalnie    +1,20 000  – 26 000  PLN,PLN
127,Principal Deep Learning Engineer,False,,Zdalnie,92 250  – 180 811  PLN,PLN
128,Junior Data Scientist,False,,Zdalnie,29 013  – 39 894  PLN,PLN
129,Junior AI Engineer,False,,Kraków,6 000  – 9 000  PLN,PLN
130,AI Consultant,False,,Warszawa    +4,26 880  – 33 600  PLN,PLN
131,Konsultant ds. wdrożeń AI,False,,Zdalnie    +1,Sprawdź Salary Match,SprawdSalaryMatch
132,Data Scientist,False,,Gdynia    +2,16 800  – 21 840  PLN,PLN
133,MLOps Engineer,False,,Zdalnie    +5,26 000  – 35 000  PLN,PLN
134,Machine Learning Engineer (NLP &amp; LLM),False,,Zdalnie    +2,15 000  – 20 000  PLN,PLN
135,AI Solutions Delivery Officer,False,,"Riyadh  , SA   +1",55 000  – 70 000  PLN,PLN
136,ML (Python + NLP) Engineer,False,,Zdalnie,12 952  – 21 588  PLN,PLN
137,Senior AI Engineer (GenerativeAI),True,,Zdalnie    +1,25 200  – 33 600  PLN,PLN
138,Lead Data Scientist,True,,Zdalnie    +5,19 000  – 34 000  PLN,PLN
139,Platform Engineer with Azure,False,,Zdalnie    +1,17 000  – 21 000  PLN,PLN
140,Senior Data Scientist,True,,Zdalnie    +5,25 200  – 33 600  PLN,PLN
141,AI Engineer with Python,False,,Warsaw    +3,23 520  – 27 720  PLN,PLN
142,Intern - Generative AI,False,,Warsaw,7 560  – 8 400  PLN,PLN
143,Senior Machine Learning Engineer,True,,"Budapest  , HU",16 010  – 18 642  PLN,PLN
144,Machine Learning Engineer,False,ALM Services Technology Group,Zdalnie,17 000  – 30 000  PLN,PLN
145,Senior Data Engineer,True,ASTEK Polska,Zdalnie    +1,26 880  – 29 400  PLN,PLN
146,Data Scientist,False,Sales&amp;More,Zdalnie    +1,7 500  – 15 000  PLN,PLN
147,NLP Engineer,False,Antal Sp. z.o.o.,Warszawa,16 000  – 22 000  PLN,PLN
148,Konsultant Modelowania Ryzyka,False,Polskie Technologie,Warszawa,8 700  – 13 100  PLN,PLN
149,NLP Developer,False,Talkie.ai,Zdalnie,12 000  – 20 000  PLN,PLN
150,AI Developer with ROS,False,Four Point,Wrocław,15 000  – 28 000  PLN,PLN
151,Senior/ Lead Data Scientist,True,Adform Sp. z o.o.,Warsaw,24 000  – 30 000  PLN,PLN
152,Python Developer / ML Engineer,False,hubQuest,Zdalnie    +1,20 000  – 27 000  PLN,PLN
153,Computer Vision Engineer,False,Infracert TSI,Warszawa,16 000  – 24 000  PLN,PLN
